id,prediction
95,contradict
136,contradict
59,consistent
60,consistent
124,contradict
111,contradict
135,consistent
27,consistent
110,contradict
42,consistent
56,consistent
80,consistent
28,consistent
101,contradict
91,contradict
24,consistent
119,contradict
93,contradict
72,consistent
16,consistent
30,consistent
97,contradict
22,consistent
53,consistent
58,consistent
81,consistent
47,consistent
7,consistent
121,contradict
129,contradict
51,consistent
127,contradict
133,contradict
52,consistent
114,contradict
2,consistent
33,consistent
15,consistent
82,consistent
37,consistent
3,consistent
103,contradict
94,contradict
85,consistent
21,consistent
49,consistent
140,contradict
64,consistent
131,contradict
61,consistent
86,consistent
38,consistent
132,contradict
77,consistent
70,consistent
115,contradict
78,consistent
87,contradict
75,consistent
44,consistent
